x = 29, y = 24, rule = lenia, kEq = gauss, gEq = gauss, mu = 0.15, sigma = 0.017, kernelRadius = 13.0, deltaT = 0.1, peak = [1]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.14329254191731775 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.4209225569173973 0.07005880287256856 0.0744380684690468 0.053243276389507155 0.0013962762561121195 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.678018072085256 0.2225496687641383 0.19689927135784654 0.1840391315091511 0.17400533727490616 0.13421175519479914 0.05972223668596163 0.0 0.006742209573449565 0.0227227649685868 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.06604725814597007 0.7957140111236148 0.11521623322346092 0.030706144831413186 0.017643243765360996 0.052400900671457556 0.12049449018421204 0.17845840223248796 0.16170048696650394 0.2134386332436216 0.23900243139379324 0.19695871525873881 0.10742067576138489 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.10961313152457802 0.6671942363840367 0.0 0.0 0.0 0.0 0.0 0.0 0.10044242405629376 0.31633284809613005 0.43051121523480856 0.4054491849886165 0.3246006234132035 0.19093775301801352 0.0008871691178618801 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05676022146614529 0.5311799371086137 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1360612925245694 0.35926131911599035 0.5030278206269893 0.5117869713631674 0.39448648442240825 0.21923849298616913 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.42324844945059414 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.18676218294168426 0.2451549518672096 0.330093963096914 0.434459929557912 0.4766688045726547 0.3996303213970939 0.1286980321689363 0.0016368541628503236 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.23891330686160547 0.14893437012939975 0.0 0.0 0.0 0.0 0.0 0.0 0.3585265105117238 0.4029878742546108 0.37794605302400786 0.32975528402959997 0.30982048557095104 0.2961010263321894 0.21867746338648292 0.1783010722921639 0.0995222288935791 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.026501488066212955 0.2654122321803994 0.01679471383575626 0.0 0.0 0.0 0.0 0.0 0.5270777172863382 0.6120150965598173 0.5701268857773424 0.48642521929234667 0.3781083185698187 0.23977530217201926 0.09081184606337178 0.05496785996138607 0.15606157127839995 0.16354501229884977 0.05262010549564643 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.11665373228964988 0.20169311195419434 0.0 0.0 0.0 0.0 0.0700067264900355 0.6935916850946824 0.8238485167780939 0.7782973754722153 0.6957866308146347 0.5773012553768223 0.4262253142229508 0.22124495888464168 0.0 0.0 0.06142999871025759 0.1724985941727631 0.08728094012081188 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.15752637746689355 0.18966761177773128 0.04686831418595096 0.0 0.0 0.25037566348180307 0.826781725800211 0.9928941691816946 0.9649076341968742 0.9040551916655757 0.7909333660188342 0.6491290529470848 0.44256686057574185 0.0 0.0 0.0 0.0 0.1630592039861105 0.11281177707666211 0.0 0.0858017934037348 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.1615109664224358 0.2186130310300318 0.15158569910038194 0.15385072420520718 0.35062245383013496 0.8094457441541854 1.0 1.0 1.0 0.9781084172861152 0.8591447229727245 0.6679574069383981 0.0 0.0 0.0 0.0 0.0 0.16569026478079596 0.10749909529323987 0.2719508508299797 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.14726237542700904 0.2568817611122102 0.27347008621060054 0.37042451234185164 0.6597644596520056 0.9246271321178842 0.9217622714811121 0.8558446916210974 1.0 1.0 0.8810898818749124 0.1971099075892515 0.0 0.0 0.0 0.0 0.0 0.2142211849412662 0.442044823264125 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.11021940797415765 0.2548009422446347 0.35128733732906303 0.49813371231681486 0.7091427786061943 0.7961968786468369 0.7672165338218117 0.8190915149007885 1.0 1.0 0.45731310724136154 0.0 0.0 0.0 0.0 0.0 0.024896662442315965 0.5630229644879359 0.05240184267305041 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.061960318822450615 0.22394793389960857 0.3431142122592038 0.49169981075311703 0.6329079494667071 0.7020855437455216 0.7477388292668903 0.8761507102732012 0.9994074477154058 0.6433585055934832 0.0 0.0 0.0 0.0 0.0 0.0 0.42911923823334663 0.3566974991586637 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.02108514297740436 0.15049984261237795 0.28704394993038684 0.4167263708432254 0.5335955060198287 0.6299441916640047 0.7214730588469814 0.7905552264212348 0.6397601842924299 0.19965129507453233 0.0 0.0 0.0 0.0 0.0 0.20514324958340235 0.5668380959743891 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.06724290643972138 0.19984333967133996 0.3167499128699565 0.42353487428117753 0.5159138292912437 0.5769968683558223 0.5306514744084082 0.32536432364112566 0.05353326991818522 0.0 0.0 0.0 0.0 0.19090417792689543 0.5367097659245651 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.009761096959539707 0.09980742978861469 0.20628851106362234 0.3007239899566535 0.3751437610083808 0.4055832061450101 0.35965125438911993 0.2173674316969616 0.08498653996505909 0.0 0.0 0.0332097155496788 0.2605239550678685 0.36027634481027293 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0154461401284256 0.08410463408878913 0.16346307121703374 0.2440034760655756 0.28920400926913165 0.28199557719943674 0.23500088722916032 0.18519564927325555 0.16463072986419064 0.1991097140224412 0.28185552100399724 0.1652993747865193 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.041397626557044404 0.09208506246794303 0.1482222195377002 0.17954032141549003 0.20218104034608228 0.2045950689494388 0.18915433528242342 0.13724931331034568 0.015406932334996038 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010450388276419531 0.015320528493497432 0.0011273541321807467 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
